@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
679,'2019/10/24 11:54:53:321',3,397,106,1,0
680,'2019/10/24 11:54:53:361',3,430,183,1,0
681,'2019/10/24 11:54:53:395',3,475,199,1,0
682,'2019/10/24 11:54:53:429',3,526,200,1,0
683,'2019/10/24 11:54:53:463',3,548,182,1,0
684,'2019/10/24 11:54:53:497',3,534,158,1,0
685,'2019/10/24 11:54:53:530',3,519,150,1,0
686,'2019/10/24 11:54:53:563',3,510,151,1,0
687,'2019/10/24 11:54:53:596',3,505,153,1,0
688,'2019/10/24 11:54:53:628',3,505,153,1,0
689,'2019/10/24 11:54:53:661',3,504,153,1,0
690,'2019/10/24 11:54:53:695',3,499,144,1,0
691,'2019/10/24 11:54:53:727',3,499,144,1,0
692,'2019/10/24 11:54:53:759',3,499,144,1,0
693,'2019/10/24 11:54:53:793',3,499,144,1,0
694,'2019/10/24 11:54:53:827',3,499,144,1,0
695,'2019/10/24 11:54:53:863',3,499,144,1,0
696,'2019/10/24 11:54:53:896',3,498,143,1,0
697,'2019/10/24 11:54:53:930',3,489,140,1,0
698,'2019/10/24 11:54:53:964',3,481,148,1,0
699,'2019/10/24 11:54:53:997',3,478,171,1,0
700,'2019/10/24 11:54:54:031',3,491,175,1,0
701,'2019/10/24 11:54:54:065',3,521,162,1,0
702,'2019/10/24 11:54:54:098',3,532,131,1,0
703,'2019/10/24 11:54:54:132',3,514,104,1,0
704,'2019/10/24 11:54:54:165',3,478,103,1,0
705,'2019/10/24 11:54:54:199',3,456,139,1,0
706,'2019/10/24 11:54:54:233',3,455,175,1,0
707,'2019/10/24 11:54:54:267',3,496,192,1,0
708,'2019/10/24 11:54:54:301',3,556,188,1,0
709,'2019/10/24 11:54:54:334',3,566,167,1,0
710,'2019/10/24 11:54:54:368',3,540,143,1,0
711,'2019/10/24 11:54:54:404',3,477,131,1,0
712,'2019/10/24 11:54:54:434',3,442,148,1,0
713,'2019/10/24 11:54:54:467',3,432,168,1,0
714,'2019/10/24 11:54:54:501',3,443,196,1,0
715,'2019/10/24 11:54:54:535',3,469,213,1,0
716,'2019/10/24 11:54:54:568',3,497,219,1,0
717,'2019/10/24 11:54:54:604',3,526,210,1,0
718,'2019/10/24 11:54:54:646',3,529,179,1,0
719,'2019/10/24 11:54:54:680',3,504,125,1,0
720,'2019/10/24 11:54:54:714',3,480,89,1,0
721,'2019/10/24 11:54:54:748',3,447,71,1,0
722,'2019/10/24 11:54:54:782',3,442,71,1,0
723,'2019/10/24 11:54:54:816',3,442,71,1,0
724,'2019/10/24 11:54:54:850',3,449,82,1,0
725,'2019/10/24 11:54:54:884',3,488,96,1,0
726,'2019/10/24 11:54:54:917',3,518,93,1,0
727,'2019/10/24 11:54:54:951',3,507,74,1,0
728,'2019/10/24 11:54:54:985',3,472,62,1,0
729,'2019/10/24 11:54:55:018',3,438,64,1,0
730,'2019/10/24 11:54:55:051',3,414,108,1,0
731,'2019/10/24 11:54:55:085',3,415,151,1,0
732,'2019/10/24 11:54:55:119',3,434,181,1,0
733,'2019/10/24 11:54:55:152',3,466,196,1,0
734,'2019/10/24 11:54:55:185',3,503,205,1,0
735,'2019/10/24 11:54:55:218',3,529,206,1,0
736,'2019/10/24 11:54:55:252',3,533,177,1,0
737,'2019/10/24 11:54:55:286',3,514,147,1,0
738,'2019/10/24 11:54:55:319',3,465,132,1,0
739,'2019/10/24 11:54:55:361',3,451,138,1,0
740,'2019/10/24 11:54:55:394',3,441,171,1,0
741,'2019/10/24 11:54:55:427',3,460,186,1,0
742,'2019/10/24 11:54:55:463',3,482,187,1,0
743,'2019/10/24 11:54:55:500',3,497,177,1,0
744,'2019/10/24 11:54:55:532',3,508,165,1,0
745,'2019/10/24 11:54:55:566',3,509,161,1,0
746,'2019/10/24 11:54:55:600',3,514,149,1,0
747,'2019/10/24 11:54:55:633',3,520,138,1,0
748,'2019/10/24 11:54:55:667',3,529,132,1,0
749,'2019/10/24 11:54:55:701',3,545,131,1,0
750,'2019/10/24 11:54:55:736',3,575,141,1,0
751,'2019/10/24 11:54:55:771',3,607,151,1,0
752,'2019/10/24 11:54:55:810',3,613,153,1,0
753,'2019/10/24 11:54:55:845',3,613,154,1,0
754,'2019/10/24 11:54:55:879',3,597,156,1,0
755,'2019/10/24 11:54:55:912',3,579,159,1,0
756,'2019/10/24 11:54:55:946',3,564,159,1,0
757,'2019/10/24 11:54:55:980',3,543,155,1,0
758,'2019/10/24 11:54:56:014',3,505,138,1,0
759,'2019/10/24 11:54:56:048',3,480,134,1,0
760,'2019/10/24 11:54:56:082',3,468,132,1,0
761,'2019/10/24 11:54:56:116',3,462,133,1,0
762,'2019/10/24 11:54:56:149',3,460,135,1,0
763,'2019/10/24 11:54:56:184',3,459,136,1,0
764,'2019/10/24 11:54:56:217',3,460,139,1,0
765,'2019/10/24 11:54:56:251',3,488,148,1,0
766,'2019/10/24 11:54:56:285',3,521,159,1,0
767,'2019/10/24 11:54:56:319',3,535,162,1,0
768,'2019/10/24 11:54:56:353',3,535,162,1,0
769,'2019/10/24 11:54:56:386',3,535,162,1,0
770,'2019/10/24 11:54:56:429',3,535,162,1,0
771,'2019/10/24 11:54:56:461',3,535,162,1,0
772,'2019/10/24 11:54:56:499',3,535,159,1,0
